KEYWORD,HASH TAGS,HANDLE,OUR HANDLES,DOMAIN SOURCE,CONDITIONS
fazeybaby,#fazeybaby,@OfficiallyFaze,@teenSwagXoXo,http://fazeybaby.tumblr.com/,Tumblr Image Safe / Specific
OfficiallyFaze,#OfficiallyFaze,@PicsTweet,@PrisSwagXoXo,http://fazeybaby.tumblr.com/,Images Only
PicsTweet,#PicsTweet,@fazeybaby,,http://www.tumblr.com/tagged/only-losers-obey-yolo,No Titles or Excerpts
obey,#obey,@WeLoveYOLO,,http://www.tumblr.com/tagged/only-losers-obey-yolo,No Videos
yolo,#yolo,@WeTweetYOLO,,http://moresexlessstress.tumblr.com/,Combined Search: SWAG + Tumblr
WeLoveYOLO,#WeLoveYOLO,@moresexlessstress,,,Combined Search: YOLO + Tumblr
WeTweetYOLO,#WeTweetYOLO,@theofficialswag,,,Combined Search: OBEY + Tumblr
moresexlessstress,#moresexlessstress,@iamswag,,,
yolo love,,@CaliSwagDstrct,,,
love yolo,,@teenSwagXoXo,,,
YOLO,,@PrisSwagXoXo,,,
SWAG+Tumblr,,,,,
YOLO+Tumblr,,,,,
OBEY+Tumblr,,,,,
