KEYWORD,HASH TAGS,HANDLE,DOMAIN SOURCE,CONDITIONS
fazeybaby,#fazeybaby,@OfficiallyFaze,http://fazeybaby.tumblr.com/,Tumblr Image Safe / Specific
OfficiallyFaze,#OfficiallyFaze,@PicsTweet,http://fazeybaby.tumblr.com/,Images Only
PicsTweet,#PicsTweet,@fazeybaby,http://www.tumblr.com/tagged/only-losers-obey-yolo,No Titles or Excerpts
obey,#obey,@WeLoveYOLO,http://www.tumblr.com/tagged/only-losers-obey-yolo,No Videos
yolo,#yolo,@WeTweetYOLO,http://moresexlessstress.tumblr.com/,Combined Search: SWAG + Tumblr
WeLoveYOLO,#WeLoveYOLO,@moresexlessstress,,Combined Search: YOLO + Tumblr
WeTweetYOLO,#WeTweetYOLO,@theofficialswag,,Combined Search: OBEY + Tumblr
moresexlessstress,#moresexlessstress,@iamswag,,
yolo love,,@CaliSwagDstrct,,
love yolo,,@AssemblySwag,,
YOLO,,@AssemblySwag1,,
SWAG+Tumblr,,@AssemblySwag2,,
YOLO+Tumblr,,,,
OBEY+Tumblr,,,,
