KEYWORD,HASH TAGS,HANDLE,DOMAIN SOURCE,CONDITIONS
girlythingsss,#sotrue,@girlythingsss,http://justgirlythings.tumblr.com/,Tumblr Image Safe / Specific
tmblr.co,#lolsotrue,@ohteenquotes,http://quotethattalk.tumblr.com/,Images Only
"""quote that talk""",#quotethattalk,@quotethattalk,http://lol-sotrue.tumblr.com/,No Titles or Excerpts
lol-sotrue,#imagequotes,@teenquotes_,,No Videos
imagequotes,#quotes-for-facebook,@TeenThings,,Combined Search: TEEN SWAG + Instagram
"""quotes-for-facebook""",#girlthings,@coolstorybro,,Combined Search: TEEN QUOTES + Instagram
"""quotes for facebook""",#teenquotes,,,Combined Search: QUOTES + Instagram
"""girly things""",#4uquotesru,,,Combined Search: TEENS + Instagram
girlthings,#TeenQuotes,,,Combined Search: TEEN SWAG + Tumblr
"""girl things""",#textgram,,,Combined Search: TEEN QUOTES + Tumblr
4uquotesru,#idcapthat,,,Combined Search: QUOTES + Tumblr
"""Teen Quotes""",#piccollage,,,Combined Search: TEENS + Tumblr
idcapthat,#faceinhole,,,
textgram,#TeenThings,,,
piccollage,#teenpics,,,
faceinhole,#coolstorybro,,,
TeenThings,,,,
teenpics,,,,
"""cool story bro""",,,,
"""lol sotrue""",,,,
"""TEEN SWAG""+Instagram",,,,
"""TEEN QUOTES""+Instagram",,,,
QUOTES+Instagram,,,,
TEENS+Instagram,,,,
"""TEEN SWAG""+Tumblr",,,,
"""TEEN QUOTES""+Tumblr",,,,
QUOTES+Tumblr,,,,
TEENS+Tumblr,,,,
