KEYWORD,HASH TAGS,HANDLE,DOMAIN SOURCE,CONDITIONS
fazeybaby,#fazeybaby,@OfficiallyFaze,http://fazeybaby.tumblr.com/,Tumblr Image Safe / Specific
OfficiallyFaze,#OfficiallyFaze,@PicsTweet,http://fazeybaby.tumblr.com/,Images Only
PicsTweet,#PicsTweet,@fazeybaby,http://www.tumblr.com/tagged/only-losers-obey-yolo,No Titles or Excerpts
obey,#obey,@WeLoveYOLO,http://www.tumblr.com/tagged/only-losers-obey-yolo,No Videos
yolo,#yolo,@WeTweetYOLO,http://moresexlessstress.tumblr.com/,Combined Search: SWAG + Instagram
WeLoveYOLO,#WeLoveYOLO,@moresexlessstress,,Combined Search: YOLO + Instagram
WeTweetYOLO,#WeTweetYOLO,@theofficialswag,,Combined Search: OBEY + Instagram
moresexlessstress,#moresexlessstress,@iamswag,,Combined Search: SWAG + Tumblr
yolo love,,@CaliSwagDstrct,,Combined Search: YOLO + Tumblr
love yolo,,,,Combined Search: OBEY + Tumblr
YOLO,,,,
SWAG+Instagram,,,,
YOLO+Instagram,,,,
OBEY+Instagram,,,,
SWAG+Tumblr,,,,
YOLO+Tumblr,,,,
OBEY+Tumblr,,,,
