KEYWORD,HASH TAGS,HANDLE,DOMAIN SOURCE,DATA CONDITIONS
Funnyordie,#Funnyordie,@SoVeryAwkward,You Tube,You Tube Videos Only
ComedyCentral,#ComedyCentral,@lol_daily,You Tube,
JonStewart,#JonStewart,@Stewie,You Tube,
funny,#funny,@Broslife,You Tube,
funnyvideos,#funnyvideos,@Darthvader,You Tube,
funnyvids,#funnyvids,@FrodoBaggins,You Tube,
uncoachedcom,#uncoachedcom,@Funny_Junk,You Tube,
funnyvid,#funnyvid,@CollegeHumor,You Tube,
iTunesTrailers,#iTunesTrailers,@cracked,You Tube,
http://trailers.apple.com/trailers/universal/savages/,,@adultswim,You Tube,
,,@killsometimecom,You Tube,
,,@awfulannouncing,You Tube,
,,@TheDailyShow,You Tube,
,,@ColbertReport,You Tube,
,,@WorkaholicsCC,You Tube,
,,@danieltosh,You Tube,
,,@SouthPark,You Tube,
,,@Breakcom,You Tube,
,,@FunnyOnlineVids,You Tube,
,,@iTunesTrailers,You Tube,
